"External ID","Asientos/Debe","Asientos/Haber","Asientos/Fecha creación","Asientos/Fecha vencimiento","Asientos/Nombre","Asientos/Nota interna","Asientos/Referencia","Asientos/Cuenta/Activo","Asientos/Empresa/Activo","Asientos/Producto/Activo","Asientos/Boleta de Depósito/ID","Asientos/Boleta de Depósito","Asientos/Cuenta","Asientos/Empresa","Asientos/Producto"
"","","850000.0","","2018-01-21","ENTR |01657","","","True","True","","","","__export__.account_account_928","__export__.res_partner_655",""
"","","2140000.0","","2017-12-21","OC |2017|03328","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1721",""
"","","16700000.0","","2018-01-12","ENTR |01664","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1876",""
"","979450.0","","","2017-12-13","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","1057850.0","","","2017-12-14","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","","444036.0","","2018-01-14","OC |2017|03433","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","2120400.0","","","2018-01-11","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_646",""
"","279000.0","","","2018-01-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1654",""
"","","1076350.0","","2017-12-28","ENTR |01652","","","True","True","","","","__export__.account_account_928","__export__.res_partner_483",""
"","1720000.0","","","2018-01-17","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1611",""
"","582000.0","","","2017-11-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1095",""
"","","240000.0","","2017-12-31","ENTR |01623","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1073",""
"","1152350.0","","","2017-12-14","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","","270029.0","","2018-01-10","OC |2017|03438","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","1170400.0","","","2017-12-16","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_435",""
"","","100000.0","","","001-001-0010570","","","True","True","","","","__export__.account_account_828","__export__.res_partner_497",""
"","312200.0","","","2017-01-15","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_497",""
"","1620000.0","","","2017-12-02","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1018",""
"","228000.0","","","2018-01-03","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_285",""
"","1596910.0","","","2018-01-04",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_618",""
"","","250000.0","","2018-01-12","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","6250000.0","","","2017-12-01","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","297000.0","","","2018-01-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_285",""
"","15444000.0","","","2017-12-31","MODIFICACION DE TABLEROS EMB GRUPO RIVEROS, PED-REPOS 01/12/2017","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","615000.0","","","2018-01-26","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1549",""
"","","302375.0","","2018-01-17","OC |2017|03437","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","1165000.0","","","2018-01-03","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1001",""
"","","1642792.0","","2017-12-29","OC |2017|03238","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","","395820.0","","2018-01-21","ENTR |01720","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1162",""
"","233700.0","","","2017-12-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_165",""
"","3348000.0","","","2017-12-08","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_941",""
"","3400000.0","","","2017-12-08","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2534",""
"","","35071.0","","2018-01-25","OC |2017|03507","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","1017450.0","","","2018-01-06","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1348",""
"","5390000.0","","","2018-01-13","REPOS- ADICC -  OC Nº 36517. - 16/12/2017","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
